trait_pattern	chemical_name	ontology_id	ontology_name	predicate	category	notes
hydrolysis: casein hydrolysate	casein	FOODON:03420180	casein	METPO:2000013	biolink:Food	Map to parent protein casein; hydrolysate is product; CHEBI:17895 was L-tyrosine (completely wrong); FOODON:03420180 suggested for casein (verify via FOODON); category changed to biolink:Food
hydrolysis: cationic chitosan	chitosan	CHEBI:16261	chitosan	METPO:2000013	biolink:ChemicalEntity	Cationic = positively charged; chitosan is the base polymer
hydrolysis: crab shell chitin	chitin	CHEBI:17029	chitin	METPO:2000013	biolink:ChemicalEntity	Chitin from crab shells; chitinase activity
hydrolysis: milk	milk	UBERON:0001913	milk	METPO:2000013	biolink:Food	"Lactose or protein hydrolysis; FOODON:03301422 was ""sweet corn kernel (raw)"" (completely wrong); UBERON:0001913 confirmed as ""milk"""
aerobic catabolization: dihydrogen	dihydrogen	CHEBI:18276	dihydrogen	METPO:2000032	biolink:ChemicalEntity	H2 oxidation under aerobic conditions; METPO:2000032 predicate confirmed in metpo.owl. Corrected 2026-04-30 from CHEBI:29356 (oxide(2-)) per MIM reconciliation
aerobic catabolization: acetate	acetate	CHEBI:30089	acetate	METPO:2000032	biolink:ChemicalEntity	Aerobic acetate oxidation via TCA cycle
anaerobic catabolization: acetate	acetate	CHEBI:30089	acetate	METPO:2000048	biolink:ChemicalEntity	Anaerobic acetate oxidation; METPO:2000048 predicate confirmed in metpo.owl
utilizes: 4-nitrophenyl beta-D-galactopyranoside	4-nitrophenyl beta-D-galactopyranoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	METPO:2000001	biolink:ChemicalEntity	Generic utilization; CHEBI:52701 was IBX reagent (wrong)
utilizes: 1,2-propandiol	1,2-propandiol	CHEBI:16997	propane-1,2-diol	METPO:2000001	biolink:ChemicalEntity	Propylene glycol utilization; CHEBI:16240 was hydrogen peroxide (completely wrong); CHEBI:16997 confirmed as propane-1,2-diol
hydrolysis: urea	urea	CHEBI:16199	urea	METPO:2000013	biolink:ChemicalEntity	Urease activity; common material fallback
degradation: gelatin	gelatin	FOODON:03544158	gelatine (efsa foodex2)	METPO:2000007	biolink:Food	"Protein degradation; gelatinase activity; FOODON:03311170 was ""rosemary (ground, dried)"" (completely wrong); FOODON:03544158 confirmed as gelatine"
hydrolysis: gelatin	gelatin	FOODON:03544158	gelatine (efsa foodex2)	METPO:2000013	biolink:Food	"Protein hydrolysis; gelatinase activity; FOODON:03311170 was ""rosemary (ground, dried)"" (completely wrong)"
hydrolysis: esculin	esculin	CHEBI:4853	esculin	METPO:2000013	biolink:ChemicalEntity	Beta-glucosidase substrate; coumarin glycoside; CHEBI:4806 was (-)-epigallocatechin 3-gallate (EGCG, green tea polyphenol), completely wrong; CHEBI:4853 confirmed as esculin
degradation: starch	starch	CHEBI:28017	starch	METPO:2000007	biolink:ChemicalEntity	Amylase activity; polysaccharide degradation
hydrolysis: casein	casein	FOODON:03420180	casein	METPO:2000013	biolink:Food	Protease activity on casein; high-frequency trait (1.16M true obs); casein is a food protein not in CHEBI; FOODON:03420180 confirmed as casein
degradation: casein	casein	FOODON:03420180	casein	METPO:2000007	biolink:Food	Casein degradation; protease activity; FOODON:03420180 (casein)
utilizes: casein	casein	FOODON:03420180	casein	METPO:2000001	biolink:Food	Generic casein utilization; FOODON:03420180 (casein)
assimilation: casein	casein	FOODON:03420180	casein	METPO:2000002	biolink:Food	Casein assimilation; FOODON:03420180 (casein)
carbon source: casein	casein	FOODON:03420180	casein	METPO:2000006	biolink:Food	Casein as carbon source; FOODON:03420180 (casein)
growth: casein	casein	FOODON:03420180	casein	METPO:2000012	biolink:Food	Growth on casein; FOODON:03420180 (casein)
growth: casein hydrolysate	casein	FOODON:03420180	casein	METPO:2000012	biolink:Food	Growth on casein hydrolysate; maps to parent protein casein; FOODON:03420180
fermentation: casein hydrolysate	casein	FOODON:03420180	casein	METPO:2000011	biolink:Food	Fermentation of casein hydrolysate; maps to parent protein casein; FOODON:03420180
nitrogen source: casein	casein	FOODON:03420180	casein	METPO:2000014	biolink:Food	Casein as nitrogen source; FOODON:03420180 (casein)
nitrogen source: casein hydrolysate	casein	FOODON:03420180	casein	METPO:2000014	biolink:Food	Casein hydrolysate as nitrogen source; maps to parent protein casein; FOODON:03420180
carbon source: casein hydrolysate	casein	FOODON:03420180	casein	METPO:2000006	biolink:Food	Casein hydrolysate as carbon source; maps to parent protein casein; FOODON:03420180
energy source: casein hydrolysate	casein	FOODON:03420180	casein	METPO:2000010	biolink:Food	Casein hydrolysate as energy source; maps to parent protein casein; FOODON:03420180
required for growth: casein	casein	FOODON:03420180	casein	METPO:2000018	biolink:Food	Casein required as growth factor; FOODON:03420180 (casein)
builds acid from: casein	casein	FOODON:03420180	casein	METPO:2000003	biolink:Food	Acid production from casein proteolysis; FOODON:03420180 (casein)
oxidation: casein	casein	FOODON:03420180	casein	METPO:2000016	biolink:Food	Oxidative casein catabolism; FOODON:03420180 (casein)
assimilation: casein hydrolysate	casein	FOODON:03420180	casein	METPO:2000002	biolink:Food	Casein hydrolysate assimilation; maps to parent protein casein; FOODON:03420180
hydrolysis: skimmed milk	skimmed milk	FOODON:03301484	skim milk food product	METPO:2000013	biolink:Food	Hydrolysis of skimmed milk proteins/lactose; FOODON:03301484 (skim milk food product)
degradation: skimmed milk	skimmed milk	FOODON:03301484	skim milk food product	METPO:2000007	biolink:Food	Skimmed milk degradation; FOODON:03301484 (skim milk food product)
degradation: milk	milk	UBERON:0001913	milk	METPO:2000007	biolink:Food	Milk degradation; UBERON:0001913 confirmed as milk
utilizes: milk	milk	UBERON:0001913	milk	METPO:2000001	biolink:Food	Generic milk utilization; UBERON:0001913 (milk)
assimilation: milk	milk	UBERON:0001913	milk	METPO:2000002	biolink:Food	Milk assimilation; UBERON:0001913 (milk)
carbon source: yeast extract	yeast extract	FOODON:03315426	yeast extract	METPO:2000006	biolink:Food	Yeast extract as carbon source; FOODON:03315426 confirmed as yeast extract
growth: yeast extract	yeast extract	FOODON:03315426	yeast extract	METPO:2000012	biolink:Food	Growth on yeast extract; FOODON:03315426 (yeast extract)
growth: yeast extract (0.01 %, w/v)	yeast extract	FOODON:03315426	yeast extract	METPO:2000012	biolink:Food	Growth on dilute yeast extract (0.01% w/v); maps to FOODON:03315426 (yeast extract)
required for growth: yeast extract	yeast extract	FOODON:03315426	yeast extract	METPO:2000018	biolink:Food	Yeast extract required for growth; FOODON:03315426 (yeast extract)
energy source: yeast extract	yeast extract	FOODON:03315426	yeast extract	METPO:2000010	biolink:Food	Yeast extract as energy source; FOODON:03315426 (yeast extract)
electron donor: yeast extract	yeast extract	FOODON:03315426	yeast extract	METPO:2000009	biolink:Food	Yeast extract as electron donor (complex organic mix); FOODON:03315426 (yeast extract)
nitrogen source: yeast extract	yeast extract	FOODON:03315426	yeast extract	METPO:2000014	biolink:Food	Yeast extract as nitrogen source; FOODON:03315426 (yeast extract)
assimilation: meat extract	meat extract	FOODON:03315424	meat extract	METPO:2000002	biolink:Food	Meat extract assimilation; FOODON:03315424 confirmed as meat extract
growth: meat extract	meat extract	FOODON:03315424	meat extract	METPO:2000012	biolink:Food	Growth on meat extract; FOODON:03315424 (meat extract)
growth: casitone	casein	FOODON:03420180	casein	METPO:2000012	biolink:Food	Casitone = tryptic digest of casein (BD brand); maps to parent protein casein; FOODON:03420180
produces: setamycin	setamycin	mesh:C032953	setamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:setamycin; MIM authoritative mapping → mesh:C032953
produces: gardimycin	gardimycin	mesh:C012993	gardimycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:gardimycin; MIM authoritative mapping → mesh:C012993
produces: kijanimicin	kijanimicin	CHEBI:220048	kijanimicin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation
produces: candiplanecin	candiplanecin	mesh:C033379	candiplanecin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:candiplanecin; MIM authoritative mapping → mesh:C033379
produces: decaplanin	decaplanin	mesh:C076135	decaplanin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:decaplanin; MIM authoritative mapping → mesh:C076135
produces: ristocetin B	ristocetin B	kgmicrobe.compound:ristocetin_b	ristocetin B	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: Cetocycline	Cetocycline	NCIT:C98044	Cetocycline	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative NCIT 2026-04-30 per MIM reconciliation
produces: butyricin 7423	butyricin 7423	mesh:C010427	butyricin 7423	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:butyricin_7423; MIM authoritative mapping → mesh:C010427
produces: dopsisamine	dopsisamine	mesh:C048266	dopsisamine	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:dopsisamine; MIM authoritative mapping → mesh:C048266
produces: indochrome	indochrome	kgmicrobe.compound:indochrome	indochrome	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: nocamycin	nocamycin	CHEBI:219652	nocamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation
produces: hitachimycin	hitachimycin	kgmicrobe.compound:hitachimycin	hitachimycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: ardacin B	ardacin B	kgmicrobe.compound:ardacin_b	ardacin B	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: Ethylenediamine-N,N'-disuccinic acid	Ethylenediamine-N,N'-disuccinic acid	kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid	Ethylenediamine-N,N'-disuccinic acid	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: halomicin	halomicin	kgmicrobe.compound:halomicin	halomicin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: mycobacidin	mycobacidin	mesh:C010250	mycobacidin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:mycobacidin; MIM authoritative mapping → mesh:C010250
produces: geomycin	geomycin	kgmicrobe.compound:geomycin	geomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: aburamycin A	aburamycin A	kgmicrobe.compound:aburamycin_a	aburamycin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: poly(L-lysine) polymer	poly(L-lysine) polymer	kgmicrobe.compound:poly_l_lysine_polymer	poly(L-lysine) polymer	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: monazomycin	monazomycin	CHEBI:201539	monazomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation
produces: azureomycin	azureomycin	kgmicrobe.compound:azureomycin	azureomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: avoparcin	avoparcin	NCIT:C169798	avoparcin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative NCIT 2026-04-30 per MIM reconciliation
produces: actinohivin	actinohivin	kgmicrobe.compound:actinohivin	actinohivin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: dynemicin	dynemicin	NCIT:C1928	dynemicin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative NCIT 2026-04-30 per MIM reconciliation
produces: abyssomicin B	abyssomicin B	kgmicrobe.compound:abyssomicin_b	abyssomicin B	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: abyssomicin G	abyssomicin G	kgmicrobe.compound:abyssomicin_g	abyssomicin G	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: atrop-abyssomicin C	atrop-abyssomicin C	kgmicrobe.compound:atrop_abyssomicin_c	atrop-abyssomicin C	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: abyssomicin H	abyssomicin H	kgmicrobe.compound:abyssomicin_h	abyssomicin H	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: abyssomicin D	abyssomicin D	mesh:C512805	abyssomicin D	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:abyssomicin_d; MIM authoritative mapping → mesh:C512805
produces: actinotiocin	actinotiocin	mesh:C006403	actinotiocin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:actinotiocin; MIM authoritative mapping → mesh:C006403
produces: sporangiomycin	sporangiomycin	mesh:C003339	sporangiomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:sporangiomycin; MIM authoritative mapping → mesh:C003339
produces: chlororaphin	chlororaphin	kgmicrobe.compound:chlororaphin	chlororaphin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: sarcidin	sarcidin	kgmicrobe.compound:sarcidin	sarcidin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: achromoviromycin	achromoviromycin	kgmicrobe.compound:achromoviromycin	achromoviromycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: primocarcin	primocarcin	kgmicrobe.compound:primocarcin	primocarcin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: alanosine	alanosine	CHEBI:221124	alanosine	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation
produces: danomycin	danomycin	kgmicrobe.compound:danomycin	danomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: actinomycetin	actinomycetin	kgmicrobe.compound:actinomycetin	actinomycetin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: champamycin B	champamycin B	kgmicrobe.compound:champamycin_b	champamycin B	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: ascosin	ascosin	kgmicrobe.compound:ascosin	ascosin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: limocrocin	limocrocin	mesh:C079132	limocrocin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:limocrocin; MIM authoritative mapping → mesh:C079132
produces: eurocidin	eurocidin	kgmicrobe.compound:eurocidin	eurocidin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: pamamycin	pamamycin	mesh:C024500	pamamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:pamamycin; MIM authoritative mapping → mesh:C024500
produces: angustmycin	angustmycin	CHEBI:8612	angustmycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; replaced kgmicrobe.compound placeholder with authoritative CHEBI 2026-04-30 per MIM reconciliation
produces: camphomycin	camphomycin	kgmicrobe.compound:camphomycin	camphomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: cinerubin A	cinerubin A	kgmicrobe.compound:cinerubin_a	cinerubin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: canarius	canarius	kgmicrobe.compound:canarius	canarius	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: rhodomycin A	rhodomycin A	mesh:C004977	rhodomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:rhodomycin_a; MIM authoritative mapping → mesh:C004977
produces: durhamycin	durhamycin	kgmicrobe.compound:durhamycin	durhamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: angolamycin	angolamycin	mesh:C002547	angolamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:angolamycin; MIM authoritative mapping → mesh:C002547
produces: flavofungin	flavofungin	mesh:C001897	flavofungin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:flavofungin; MIM authoritative mapping → mesh:C001897
produces: glebomycin	glebomycin	kgmicrobe.compound:glebomycin	glebomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: 5,6-dihydro-5-azathymidine	5,6-dihydro-5-azathymidine	mesh:C014480	5,6-dihydro-5-azathymidine	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:dihydro_azathymidine; MIM authoritative mapping → mesh:C014480
produces: bandamycin	bandamycin	kgmicrobe.compound:bandamycin	bandamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: minimycin	minimycin	mesh:C002363	minimycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:minimycin; MIM authoritative mapping → mesh:C002363
produces: vulgamycin	vulgamycin	kgmicrobe.compound:vulgamycin	vulgamycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: trans-styrylacetic acid	trans-styrylacetic acid	kgmicrobe.compound:trans_styrylacetic_acid	trans-styrylacetic acid	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: phoslactomycin	phoslactomycin	kgmicrobe.compound:phoslactomycin	phoslactomycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: amphotericin A	amphotericin A	mesh:C041989	amphotericin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:amphotericin_a; MIM authoritative mapping → mesh:C041989
produces: synergistin A	synergistin A	mesh:C003372	synergistin A	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:synergistin_a; MIM authoritative mapping → mesh:C003372
produces: staphylomycin M1	staphylomycin M1	kgmicrobe.compound:staphylomycin_m1	staphylomycin M1	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]
produces: plicacetin	plicacetin	mesh:C000633628	plicacetin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:plicacetin; MIM authoritative mapping → mesh:C000633628
produces: pluramycin A	pluramycin A	mesh:C003169	pluramycin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:pluramycin_a; MIM authoritative mapping → mesh:C003169
produces: fradicin	fradicin	mesh:C033989	fradicin	METPO:2000202	biolink:ChemicalEntity	Secondary metabolite/antibiotic; no public CHEBI ID; metatraits_unmapped[2026-04-09]; reconciled: was kgmicrobe.compound:fradicin; MIM authoritative mapping → mesh:C033989
